TOT_POP,% Asian-alone,GQ_ESTIMATES_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Civilian_labor_force_2018,Employed_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),anycondition_prevalence,Obesity_prevalence,COPD_prevalence,diabetes_prevalence,CKD_prevalence,Urban_rural_code,0-19 %,20-49 %,50+ %,TOT_POP_log,% Asian-alone_log,GQ_ESTIMATES_2018_log,R_INTERNATIONAL_MIG_2018_log,Civilian_labor_force_2018_log,Employed_2018_log,Total nurse practitioners (2019)_log,Total physician assistants (2019)_log,Total Hospitals (2019)_log,Internal Medicine Primary Care (2019)_log,Family Medicine/General Practice Primary Care (2019)_log,Total Specialist Physicians (2019)_log,Heart disease_prevalence
547538,2.006801354,14427,13.2,-4.0,3.7,10.0,32.2,23.6,13.2,17.5,17.3,50285,253439,243967,50285,90.7,317.7363452,156.6316789,5.578380817,298.0706248,212.8525031,748.1457001,47.6,35.0,10.1,14.1,3.7,3,20.06034284378436,33.733914358455486,46.20574279776015,13.213196276401566,1.9468812993361884,9.577203242302405,2.163323025660538,12.442898170311933,12.404808743592223,5.776835721163283,5.085320159672107,2.3588123728465953,5.713965863497761,5.383818242513508,6.6242587019112555,9.6
22596,1.402903169,237,11.9,3.3,2.7,18.5,36.4,13.5,19.7,30.9,27.1,42568,9703,9240,42568,58.6,11.87938835,5.57625599,0.254672015,11.26923665,9.892416073,31.17609914,54.4,41.9,9.5,14.7,3.7,2,27.982828819260046,37.8739599929191,34.14321118782085,10.025749432069084,1.8567515076673564,5.488937726156687,2.0412203288596382,9.180705566846491,9.131838143821225,2.8260932533217273,2.358611487619727,1.6591175884895546,2.7892760024904515,2.70085209498359,3.5883986560227923,8.3
161355,5.774844287,22324,7.9,-1.7,5.4,5.6,23.6,46.5,11.1,9.4,8.4,74456,91522,88754,74456,93.3,146.4366707,50.63566869,1.753312628,214.9093732,46.07705586,484.4285903,32.0,23.9,5.6,7.9,2.5,3,22.70893371757925,40.79142263952155,36.499643642899194,11.991393172628094,2.3772141845628845,10.01364156102802,2.341805806147327,11.424389289702704,11.393680110646876,5.020167522375204,4.018824518769931,1.9100331442049832,5.393215521481771,3.9333353916801927,6.193238568386836,5.8
27591,1.511362401,1299,10.3,-1.2,2.2,18.8,26.3,22.7,28.2,34.1,33.4,35292,10939,10289,35292,74.4,13.45691763,7.004970822,0.539856774,12.89072638,14.94481557,38.10598789,49.0,33.2,7.1,16.7,4.4,5,21.949186328875356,34.62360914791055,43.427204523214094,10.225426113666,1.8735487125122567,7.1731917424865985,1.9740810260220096,9.30054663986233,9.2393164802127,2.915439239509756,2.485320799182966,1.7119686473564042,2.8842824992676346,2.992969238385562,3.7636619176222137,8.7
6628,0.528062764,177,13.4,-0.5,0.3,10.8,43.0,18.0,15.5,19.6,19.5,43731,3584,3497,43731,80.4,3.696736055,0.719440877,0.13198765,4.122991252,2.959985323,11.75447388,47.6,33.5,10.4,12.7,3.5,6,26.87085093542547,33.35847917923959,39.77066988533494,8.799812469525556,1.7098374402359362,5.204006687076795,1.667706820558076,8.185628891147607,8.161089512845797,2.1629477891761795,1.7438710518377598,1.6354930402812817,2.2107977384677775,2.0744271560103704,2.8186653199203713,9.3
4664,0.621783877,103,13.3,-4.1,0.6,4.8,32.4,24.5,11.0,15.0,14.7,48566,2401,2335,48566,83.5,2.630353717,1.332797986,0.222666971,1.930314391,2.865836054,6.108123462,47.9,36.5,8.6,13.1,3.6,6,22.448542024013722,27.444253859348198,50.10720411663808,8.448700194970938,1.7266490293761498,4.68213122712422,1.7227665977411035,7.785720896534624,7.757906208351747,2.03213420293743,1.8457421583992777,1.65300818540711,1.9359051788394424,2.062528831432891,2.4076766840748993,9.4
20298,0.251256281,137,10.7,2.5,-0.1,21.3,37.7,16.0,21.4,32.8,31.6,37401,7506,7103,37401,83.6,14.17753312,0.72722725,0.672855119,8.013092787,7.455778445,22.97902181,57.2,41.3,10.1,16.1,3.8,6,26.78589023549118,36.14149177258843,37.07261799192039,9.918523937362242,1.658467339596907,4.955827057601261,1.589235205116581,8.924123891686012,8.868976189274543,2.9537394438736793,1.7452315130854459,1.735692539326262,2.5659559881004066,2.5221846473632303,3.3314550082974024,9.1
52014,3.120313762,9953,5.5,8.8,0.7,8.6,27.6,25.9,15.2,16.6,16.6,52532,14629,14103,52532,96.5,29.01056566,5.645895863,1.035788414,32.35565283,23.22882869,92.24459932,39.6,33.5,6.1,7.9,2.1,5,29.899642403968162,48.623447533356405,21.476910062675433,10.859364315442246,2.0943687940674502,9.206131527202128,1.7404661748405046,9.591102867443976,9.554497291355943,3.526671231047801,2.3651744529067438,1.7977064862819185,3.6204842476503725,3.340343749729072,4.577229446971911,4.8
44161,0.645365821,1274,12.5,0.8,0.2,13.4,32.7,19.1,20.4,30.3,28.6,45700,18989,18103,45700,88.0,12.66677411,14.42511499,1.39995293,14.77230332,25.31114898,52.21264448,50.4,38.5,10.0,13.5,3.6,5,27.74620139942483,34.412717103326464,37.8410814972487,10.695710541286761,1.7308349999306072,7.153833801578843,1.6486586255873816,9.851878418802897,9.80410910855585,2.871685706563632,2.9665668159273095,1.8562906356510802,2.984282136213144,3.411515597972483,4.0467749312988355,10.0
12691,2.017177527,939,11.6,-1.6,3.1,15.8,37.8,21.8,34.7,48.1,53.2,27859,4768,4487,27859,55.9,6.587135176,1.389088419,0.262239122,5.932835584,4.850125545,16.46653973,53.4,40.4,9.9,18.9,4.4,6,24.127334331415963,38.63367740918761,37.23898825939642,9.449042262206245,1.948361075508339,6.8501261661455,2.0918640616783932,8.470730317005897,8.410053315858335,2.4498954461244886,1.854591600779414,1.6605566247630903,2.3917706998319965,2.287484200788051,3.0664954312259574,9.3
